SF Record ID,Account Name,Practice Type,Location,Score,Tier,Owner,Days Since Last Contact,SLA Status,Recommended Action,Notes
001Rula001BZFQY2QRAPN,Sunrise Family Medicine,Primary Care,"Phoenix, AZ",80.4,Tier 1,Jamie Reyes,3,On Track,Personalized email - Lead with: Large suburban group,Large suburban group; no on-site therapist; high PHQ-9 screening rates.
001Rula002OT5GIBEAFS9,Metro Health Associates,Internal Medicine,"Chicago, IL",74.6,Tier 1,Marcus Webb,18,Overdue,Personalized email - Lead with: Urban multi-specialty group,"Urban multi-specialty group; 1 social worker for 22 providers, 6-week waitlist."
001Rula0109B0R7O7F9OG,Westside Internal Medicine,Internal Medicine,"Los Angeles, CA",73.5,Tier 1,Tyler Brooks,7,At Risk,Personalized email - Lead with: Diverse patient population,Diverse patient population; providers rank mental health as top unmet need.
001Rula005MPQMSOBPADJ,Clearwater Pediatrics,Pediatrics,"Tampa, FL",69.3,Tier 2,Dana Okon,2,On Track,Templated intro email - Use standard Rula referral partner template,High ADHD and anxiety caseload; average 8-week wait for BH referrals.
001Rula006TEZK7G1F85D,Northside Community Clinic,FQHC,"Atlanta, GA",65.4,Tier 2,Tyler Brooks,11,On Track,Templated intro email - Use standard Rula referral partner template,Integrated BH model but only 2 counselors for 11 PCPs; chronic shortage.
001Rula007COD1SBB0F0W,Mountain View OB/GYN,OB/GYN,"Salt Lake City, UT",60.3,Tier 2,Jamie Reyes,4,On Track,Templated intro email - Use standard Rula referral partner template,High postpartum depression screening; no current BH referral pathway.
001Rula009ISF3IT7O80T,Riverside Health Center,Internal Medicine,"Houston, TX",58.5,Tier 2,Dana Okon,9,On Track,Templated intro email - Use standard Rula referral partner template,"Strong network overlap; part-time psychiatrist 1 day/week, overwhelmed."
001Rula003JRCMCAKEL0B,Valley Primary Care,Primary Care,"Fresno, CA",58.2,Tier 2,Priya Shah,6,On Track,Templated intro email - Use standard Rula referral partner template,Rural-serving practice; providers cite BH as biggest unmet patient need.
001Rula0045OV4ISV8BCL,Lakewood Medical Group,Primary Care / Urgent Care,"Denver, CO",56.4,Tier 2,Marcus Webb,22,Overdue,Templated intro email - Use standard Rula referral partner template,Mixed PCP + urgent care; occasional psych consult but no ongoing BH support.
001Rula008RJWIR8DLYDF,South Bay Family Practice,Primary Care,"San Jose, CA",19.2,Tier 3,Priya Shah,52,Overdue,Nurture list - Add to drip sequence; revisit in 90 days,Small 2-physician practice; embedded therapist covers most BH needs.
